{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242600001E 242600001F,A,1,A 1,BAB A1,2,136,1,1499.0,,0,,"LINESTRING (10.036181 53.508682,10.036030 53.508589,10.035875 53.508488,10.035726 53.508380,10.035566 53.508255,10.035414 53.508121,10.035288 53.507987,10.035150 53.507843,10.035016 53.507669,10.034920 53.507532,10.034799 53.507329,10.034704 53.507117,10.034637 53.506947,10.034596 53.506785,10.034558 53.506621,10.034546 53.506408,10.034553 53.506235,10.034574 53.506026,10.034628 53.505826,10.034680 53.505652,10.034775 53.505427,10.034882 53.505235,10.035000 53.505059,10.035148 53.504869,10.035457 53.504553,10.035681 53.504357,10.036049 53.504102,10.036576 53.503772,10.037018 53.503514,10.037334 53.503316,10.037604 53.503125,10.037802 53.502981,10.037999 53.502822,10.038181 53.502649,10.038340 53.502461,10.038470 53.502276,10.038601 53.502053,10.038672 53.501899,10.038731 53.501745,10.038780 53.501535,10.038786 53.501315,10.038776 53.501116,10.038750 53.500916,10.038645 53.500554,10.038542 53.500271,10.038408 53.499964,10.038261 53.499653,10.038133 53.499425,10.037970 53.499151,10.037730 53.498798,10.037361 53.498341,10.037132 53.498052,10.036831 53.497695,10.036655 53.497482,10.036181 53.496920,10.035901 53.496585)",EPSG:4326
232500002C 232500002D,A,23,A 23,BAB A23,2,320,3,613.0,,0,,"LINESTRING (9.908138 53.620436,9.907476 53.620486)",EPSG:4326
242600012P 242600012Q,A,1,A 1,BAB A1,2,612,6,157.0,,0,,"LINESTRING (10.092791 53.507466,10.092772 53.507364,10.092745 53.507295,10.092698 53.507222,10.092638 53.507156,10.092585 53.507110,10.092506 53.507058,10.092417 53.507012,10.092339 53.506977,10.092250 53.506946,10.092152 53.506920,10.092063 53.506902,10.091970 53.506888,10.091828 53.506876,10.091586 53.506867,10.091303 53.506859,10.091041 53.506850)",EPSG:4326
232500009P 232500009Q,A,7,A 7,BAB A7,2,319,3,149.0,,0,,"LINESTRING (9.931342 53.644465,9.931346 53.644571,9.931361 53.644708,9.931377 53.645172,9.931401 53.645728,9.931384 53.645779,9.931367 53.645797)",EPSG:4326
232500009E 232500009F,A,7,A 7,BAB A7,2,319,3,786.0,,0,,"LINESTRING (9.929234 53.645048,9.929192 53.645091,9.929084 53.645196,9.929005 53.645291,9.928946 53.645378,9.928920 53.645448,9.928897 53.645532,9.928890 53.645560)",EPSG:4326
232500009E 232500009F,A,7,A 7,BAB A7,2,319,3,786.0,,0,,"LINESTRING (9.928890 53.645560,9.928866 53.645658,9.928890 53.646017,9.928886 53.646245,9.928913 53.646410,9.928960 53.646518,9.929003 53.646577,9.929051 53.646624,9.929110 53.646664,9.929172 53.646699,9.929246 53.646724,9.929330 53.646745,9.929426 53.646758,9.929500 53.646760,9.929577 53.646754,9.929657 53.646736,9.929740 53.646711,9.929809 53.646687,9.929864 53.646664,9.929920 53.646627,9.929984 53.646546,9.930028 53.646470,9.930072 53.646314,9.930081 53.646085,9.930045 53.645912,9.929988 53.645680,9.929881 53.645270,9.929727 53.644778,9.929646 53.644568,9.929470 53.644092,9.929356 53.643877,9.929042 53.643283,9.928604 53.642479,9.928505 53.642316,9.928399 53.642141,9.928344 53.642052,9.928288 53.641963)",EPSG:4326
242600014K 242600014L,A,1,A 1,BAB A1,2,130,1,454.0,,0,,"LINESTRING (10.145205 53.540148,10.145369 53.540363,10.145605 53.540699,10.146118 53.541511,10.146237 53.541736,10.146357 53.541900,10.146419 53.541984,10.146489 53.542068)",EPSG:4326
242600014K 242600014L,A,1,A 1,BAB A1,2,130,1,454.0,,0,,"LINESTRING (10.146489 53.542068,10.146494 53.542074,10.146704 53.542222,10.146857 53.542311,10.147038 53.542392,10.147256 53.542466,10.147431 53.542523,10.148048 53.542707,10.148243 53.542793,10.148344 53.542858,10.148409 53.542943,10.148459 53.543033,10.148538 53.543152)",EPSG:4326
242600014K 242600014L,A,1,A 1,BAB A1,2,130,1,454.0,,0,,"LINESTRING (10.148538 53.543152,10.148736 53.543453)",EPSG:4326
242600006 242600015,A,24,A 24,BAB A24,2,129,1,3538.0,,0,,"LINESTRING (10.070738 53.559520,10.071274 53.559881,10.071709 53.560146,10.072253 53.560421,10.072889 53.560699,10.073449 53.560936,10.074172 53.561216,10.074839 53.561423,10.075504 53.561583,10.076288 53.561751,10.076834 53.561848,10.077179 53.561904,10.077636 53.561969,10.079650 53.562234,10.080788 53.562380,10.081793 53.562497,10.082579 53.562577,10.087138 53.562976,10.088071 53.563060,10.089105 53.563150)",EPSG:4326
