{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
252500108K 252500108L,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,520.0,,0,,"LINESTRING (9.998513 53.458840,9.998603 53.459294,9.998637 53.459540,9.998666 53.459813,9.998684 53.460165,9.998704 53.460703,9.998708 53.461435)",EPSG:4326
252500108K 252500108L,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,520.0,,0,,"LINESTRING (9.998708 53.461435,9.998710 53.461838)",EPSG:4326
252500108K 252500108L,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,520.0,,0,,"LINESTRING (9.998710 53.461838,9.998710 53.461928)",EPSG:4326
252500108K 252500108L,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,520.0,,0,,"LINESTRING (9.998710 53.461928,9.998710 53.461935,9.998720 53.462495,9.998728 53.463497)",EPSG:4326
252500108M 252500108N,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,21.0,,0,,"LINESTRING (9.998776 53.463316,9.998794 53.463333,9.998842 53.463368,9.998897 53.463400,9.998967 53.463423,9.999018 53.463430)",EPSG:4326
252500108I 252500108J,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,33.0,,0,,"LINESTRING (9.996198 53.464876,9.996094 53.464848,9.995996 53.464831,9.995922 53.464825,9.995829 53.464824,9.995711 53.464832)",EPSG:4326
252500108G 252500108H,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,471.0,,0,,"LINESTRING (9.998551 53.463678,9.998552 53.463758,9.998543 53.463805,9.998502 53.463878,9.998495 53.463888)",EPSG:4326
252500108G 252500108H,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,471.0,,0,,"LINESTRING (9.998495 53.463888,9.998300 53.464190)",EPSG:4326
252500108G 252500108H,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,471.0,,0,,"LINESTRING (9.998300 53.464190,9.998164 53.464401,9.997926 53.464776,9.997738 53.465041,9.997239 53.465843,9.996902 53.466374,9.996541 53.466901,9.996334 53.467182,9.995980 53.467615)",EPSG:4326
252500108C 252500108E,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,411.0,,0,,"LINESTRING (9.995349 53.468030,9.995501 53.467805,9.996017 53.467112,9.996502 53.466425,9.996761 53.466038,9.996829 53.465933,9.996871 53.465812,9.996886 53.465696,9.996884 53.465607,9.996880 53.465595)",EPSG:4326
252500108C 252500108E,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,411.0,,0,,"LINESTRING (9.996880 53.465595,9.996862 53.465526,9.996823 53.465440,9.996767 53.465358,9.996414 53.465022,9.996384 53.464995)",EPSG:4326
252500108C 252500108E,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,411.0,,0,,"LINESTRING (9.996384 53.464995,9.996008 53.464646)",EPSG:4326
252500108D 252500108F,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,458.0,,0,,"LINESTRING (9.996124 53.464593,9.996243 53.464683,9.996313 53.464744)",EPSG:4326
252500108D 252500108F,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,458.0,,0,,"LINESTRING (9.996313 53.464744,9.996323 53.464753,9.996385 53.464805,9.996450 53.464842,9.996540 53.464878,9.996648 53.464905,9.996774 53.464922,9.996899 53.464923,9.997012 53.464912,9.997138 53.464886,9.997261 53.464839,9.997356 53.464791,9.997432 53.464726,9.997492 53.464658,9.997546 53.464559,9.997743 53.464096,9.997818 53.463878)",EPSG:4326
252500108D 252500108F,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,458.0,,0,,"LINESTRING (9.997818 53.463878,9.997920 53.463577,9.997997 53.463335,9.998064 53.463084,9.998124 53.462856,9.998131 53.462823)",EPSG:4326
252500108D 252500108F,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,458.0,,0,,"LINESTRING (9.998131 53.462823,9.998193 53.462543,9.998197 53.462520)",EPSG:4326
252500108D 252500108F,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,458.0,,0,,"LINESTRING (9.998197 53.462520,9.998250 53.462254,9.998292 53.461957,9.998327 53.461650)",EPSG:4326
252500105K 252500105L,B,75,B 75,BAB A253 abgestuft zur B 75,2,705,7,481.0,,0,,"LINESTRING (9.993363 53.453504,9.993580 53.453602)",EPSG:4326
252500105K 252500105L,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,481.0,,0,,"LINESTRING (9.993580 53.453602,9.993821 53.453710,9.994218 53.453901,9.994493 53.454047,9.994999 53.454328,9.995371 53.454531,9.995595 53.454633,9.995608 53.454638)",EPSG:4326
252500105K 252500105L,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,481.0,,0,,"LINESTRING (9.995608 53.454638,9.995906 53.454753,9.996114 53.454804,9.996325 53.454838,9.996564 53.454859,9.996776 53.454862,9.997029 53.454857,9.997109 53.454860)",EPSG:4326
252500105K 252500105L,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,481.0,,0,,"LINESTRING (9.997109 53.454860,9.997248 53.454864,9.997447 53.454886,9.997579 53.454913,9.997728 53.454955,9.997866 53.455010,9.998017 53.455096,9.998090 53.455147)",EPSG:4326
252500105K 252500105L,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,481.0,,0,,"LINESTRING (9.998090 53.455147,9.998137 53.455179,9.998890 53.455835)",EPSG:4326
252500105K 252500105L,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,481.0,,0,,"LINESTRING (9.998890 53.455835,9.999002 53.455931)",EPSG:4326
252500105C 252500105D,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,550.0,,0,,"LINESTRING (9.998327 53.461650,9.998368 53.461171,9.998376 53.460828,9.998352 53.460057,9.998299 53.459504,9.998258 53.459216,9.998221 53.459033,9.998181 53.458849,9.998150 53.458744,9.998109 53.458626,9.998055 53.458492,9.997989 53.458369,9.997951 53.458303)",EPSG:4326
252500105C 252500105D,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,550.0,,0,,"LINESTRING (9.997951 53.458303,9.997928 53.458264,9.997809 53.458087,9.997517 53.457701,9.997429 53.457586)",EPSG:4326
252500105C 252500105D,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,550.0,,0,,"LINESTRING (9.997429 53.457586,9.997243 53.457345,9.996905 53.456860)",EPSG:4326
252500107 252500104,B,75,B 75,BAB A253 abgestuft zur B 75,2,705,7,459.0,,0,,"LINESTRING (9.980928 53.451359,9.981601 53.451276,9.983508 53.451031,9.983633 53.451015,9.983738 53.451006,9.983910 53.450992,9.984028 53.450984,9.984190 53.450974,9.984416 53.450972,9.984601 53.450980,9.984934 53.451005,9.985229 53.451035,9.985471 53.451072,9.985669 53.451111,9.985852 53.451153,9.986111 53.451221,9.986574 53.451356,9.987539 53.451670)",EPSG:4326
252500105P 252500105Q,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,406.0,,0,,"LINESTRING (9.996810 53.456736,9.996148 53.455857)",EPSG:4326
252500105P 252500105Q,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,406.0,,0,,"LINESTRING (9.996148 53.455857,9.995758 53.455339)",EPSG:4326
252500105P 252500105Q,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,406.0,,0,,"LINESTRING (9.995758 53.455339,9.995530 53.455035,9.995419 53.454920,9.995321 53.454837)",EPSG:4326
252500105P 252500105Q,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,406.0,,0,,"LINESTRING (9.995321 53.454837,9.995294 53.454815,9.995088 53.454668,9.994806 53.454490,9.994346 53.454226,9.994022 53.454060,9.993789 53.453946,9.993416 53.453777)",EPSG:4326
252500104 252500105,B,75,B 75,BAB A253 abgestuft zur B 75,2,705,7,876.0,,0,,"LINESTRING (9.987539 53.451670,9.991401 53.452898,9.991824 53.453048,9.992358 53.453230,9.992788 53.453401,9.993232 53.453580,9.993500 53.453693)",EPSG:4326
242600016G 242600016H,B,5,B 5,Bergedorfer Straße,2,128,1,673.0,,0,,"LINESTRING (10.084499 53.545733,10.084475 53.545759,10.084452 53.545779)",EPSG:4326
