{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242600109 242600071,B,4,B 4,Deichtortunnel,2,101,1,216.0,,0,,"LINESTRING (10.007306 53.547818,10.006930 53.547824,10.006640 53.547823,10.006496 53.547822,10.006358 53.547817,10.006085 53.547789,10.005216 53.547658,10.004917 53.547610,10.004701 53.547575,10.004354 53.547523,10.004207 53.547502,10.004125 53.547530)",EPSG:4326
242600299 242600071,B,4,B 4,Deichtortunnel,2,101,1,217.0,,0,,"LINESTRING (10.007307 53.547954,10.007106 53.547956,10.006912 53.547958,10.006628 53.547959,10.006490 53.547953,10.006342 53.547940,10.006166 53.547918,10.005985 53.547893,10.005754 53.547847,10.005443 53.547787,10.004676 53.547658,10.004473 53.547626,10.004177 53.547579,10.004125 53.547530)",EPSG:4326
242600071 242600137,B,4,B 4,Deichtortunnel,2,101,1,72.0,,0,,"LINESTRING (10.004125 53.547530,10.003804 53.547486,10.003446 53.547431,10.003259 53.547404,10.003142 53.547388,10.003051 53.547381)",EPSG:4326
242600013M 242600013A,B,5,B 5,Bergedorfer Straße,2,601,6,542.0,,0,,"LINESTRING (10.141186 53.524356,10.141232 53.524333,10.141312 53.524294,10.141392 53.524252,10.141442 53.524227,10.141490 53.524202,10.141803 53.524053,10.141926 53.523996,10.142074 53.523933,10.142311 53.523830,10.142596 53.523708,10.142938 53.523560,10.143238 53.523425,10.143503 53.523314)",EPSG:4326
242600013M 242600013A,B,5,B 5,Bergedorfer Straße,2,601,6,542.0,,0,,"LINESTRING (10.143503 53.523314,10.143552 53.523294,10.143776 53.523208,10.144045 53.523106,10.144334 53.522996,10.144628 53.522884,10.144992 53.522745,10.145306 53.522626,10.145536 53.522540,10.145692 53.522480,10.145895 53.522398,10.146068 53.522328,10.146172 53.522282,10.146283 53.522233,10.146355 53.522200,10.146424 53.522168,10.146494 53.522134,10.146613 53.522072,10.146879 53.521929,10.147043 53.521840,10.147346 53.521675,10.147567 53.521555,10.147600 53.521536,10.147765 53.521457)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.911850 53.514154,9.912127 53.514180,9.912331 53.514250)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.912331 53.514250,9.912508 53.514311,9.913135 53.514497,9.913351 53.514561,9.913410 53.514580)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.913410 53.514580,9.913689 53.514670,9.913978 53.514744,9.913999 53.514747)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.913999 53.514747,9.914058 53.514755)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.914058 53.514755,9.914224 53.514779,9.914303 53.514800)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.914303 53.514800,9.914578 53.514871,9.914879 53.514944,9.915220 53.515019,9.915319 53.515039)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.915319 53.515039,9.915479 53.515070,9.915732 53.515114,9.915958 53.515148,9.916197 53.515180,9.916302 53.515192)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.916302 53.515192,9.916468 53.515210,9.916908 53.515265,9.917001 53.515272)",EPSG:4326
242500089 242500007,B,3,B 3,Finkenwerder Straße,2,140,1,414.0,,0,,"LINESTRING (9.917001 53.515272,9.917151 53.515283,9.917427 53.515296,9.917673 53.515304,9.917757 53.515306)",EPSG:4326
242500251 242500252,B,5,B 5,Eimsbütteler Marktplatz,2,304,3,224.0,,0,,"LINESTRING (9.946345 53.573273,9.946275 53.573259,9.946227 53.573249,9.946167 53.573235,9.946124 53.573225,9.946085 53.573216,9.946050 53.573207,9.946008 53.573196,9.945946 53.573179,9.945875 53.573159,9.945813 53.573140,9.944750 53.572826,9.944184 53.572660,9.943530 53.572465,9.943298 53.572396)",EPSG:4326
252500105 252600148,B,73,B 73,Großmoordamm,2,703,7,128.0,,0,,"LINESTRING (9.997390 53.456633,9.997621 53.456545,9.997837 53.456468,9.998028 53.456408,9.998198 53.456361,9.998423 53.456278,9.998832 53.456109,9.999025 53.456016)",EPSG:4326
242500186 242500003,B,4,B 4,Kieler Straße,2,304,3,45.0,,0,,"LINESTRING (9.942005 53.572773,9.941920 53.572780,9.941868 53.572784,9.941780 53.572790,9.941720 53.572795,9.941656 53.572799,9.941594 53.572803,9.941525 53.572806,9.941454 53.572809,9.941387 53.572812,9.941318 53.572811)",EPSG:4326
242500091 242500093,B,3,B 3,Köhlbrandbrücke,2,140,1,3835.0,,0,,"LINESTRING (9.923980 53.520799,9.923833 53.520709,9.923675 53.520619,9.923466 53.520440,9.923145 53.520168,9.922545 53.519712,9.922327 53.519548,9.922227 53.519449,9.922155 53.519343,9.922117 53.519263,9.922083 53.519195,9.922051 53.519095,9.922051 53.519086)",EPSG:4326
