{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242600012 242600019,A,1,A 1,BAB A1,2,612,6,664.0,,0,E22,"LINESTRING (10.090763 53.508179,10.090534 53.508129,10.090124 53.508043,10.089872 53.507992,10.089678 53.507954,10.089393 53.507897,10.089105 53.507843,10.088818 53.507791,10.088530 53.507740,10.088238 53.507690,10.087948 53.507642,10.087657 53.507597,10.087365 53.507553,10.087073 53.507512,10.086652 53.507455,10.086369 53.507421,10.086185 53.507401,10.086096 53.507390,10.085808 53.507359,10.085491 53.507327,10.085295 53.507310,10.084995 53.507284,10.084698 53.507261,10.084398 53.507240,10.084098 53.507222,10.083797 53.507206,10.083497 53.507193,10.083196 53.507182,10.082896 53.507173,10.082594 53.507167,10.082292 53.507163,10.081992 53.507161,10.081690 53.507162,10.081388 53.507166,10.081088 53.507171,10.080945 53.507176)",EPSG:4326
242600010 242600014,A,1,A 1,BAB A1,2,130,1,2018.0,,0,E22,"LINESTRING (10.158797 53.560214,10.158135 53.559922,10.157237 53.559476,10.156632 53.559127,10.155943 53.558692,10.155303 53.558243,10.154768 53.557826,10.154158 53.557295,10.153355 53.556497,10.152682 53.555742,10.152073 53.554932,10.151648 53.554295,10.151047 53.553355,10.150672 53.552657,10.150109 53.551413,10.149834 53.550751)",EPSG:4326
242600010 242600014,A,1,A 1,BAB A1,2,130,1,2018.0,,0,E22,"LINESTRING (10.149834 53.550751,10.149553 53.550076,10.149179 53.549101,10.148040 53.546101,10.147099 53.543898)",EPSG:4326
252600101 252600008,A,1,A 1,BAB A1,2,703,7,2016.0,,0,E22,"LINESTRING (10.025719 53.462499,10.026457 53.459939)",EPSG:4326
252600101 252600008,A,1,A 1,BAB A1,2,703,7,2016.0,,0,E22,"LINESTRING (10.026457 53.459939,10.027850 53.455109,10.028768 53.451946,10.028985 53.451033,10.029134 53.450301,10.029141 53.450244)",EPSG:4326
252600101 252600008,A,1,A 1,BAB A1,2,704,7,2016.0,,0,E22,"LINESTRING (10.029141 53.450244,10.029197 53.449837,10.029240 53.449486,10.029479 53.446992,10.029696 53.444554)",EPSG:4326
252600102 252600101,A,1,A 1,BAB A1,2,137,1,1893.0,,0,E22,"LINESTRING (10.022620 53.479384,10.022538 53.479038,10.022448 53.478427,10.022400 53.477771,10.022410 53.477403,10.022450 53.476958,10.022577 53.476231,10.022962 53.474455)",EPSG:4326
252600102 252600101,A,1,A 1,BAB A1,2,703,7,1893.0,,0,E22,"LINESTRING (10.022962 53.474455,10.023648 53.471293,10.024571 53.467040,10.024847 53.465767,10.024974 53.465209,10.025332 53.463804,10.025719 53.462499)",EPSG:4326
242600019 242600001,A,1,A 1,BAB A1,2,612,6,3016.0,,0,E22,"LINESTRING (10.080945 53.507176,10.080183 53.507202,10.079885 53.507217,10.079585 53.507235,10.079283 53.507255,10.078987 53.507277,10.078689 53.507302,10.078390 53.507329,10.078094 53.507358,10.077774 53.507393,10.077500 53.507425,10.077205 53.507461,10.076910 53.507499,10.076763 53.507519,10.076617 53.507539,10.076324 53.507582,10.076032 53.507626,10.075740 53.507672,10.075448 53.507719,10.075158 53.507767,10.074869 53.507817,10.074580 53.507868,10.074291 53.507919,10.074005 53.507971,10.073715 53.508025,10.073428 53.508079,10.073140 53.508133,10.072852 53.508188,10.072566 53.508242,10.072279 53.508297,10.071705 53.508406,10.071128 53.508513,10.070841 53.508566,10.070551 53.508617,10.070261 53.508667,10.069971 53.508714,10.069826 53.508738,10.069534 53.508781)",EPSG:4326
242600019 242600001,A,1,A 1,BAB A1,2,132,1,3016.0,,0,E22,"LINESTRING (10.069534 53.508781,10.069386 53.508803,10.069092 53.508845,10.068801 53.508883,10.068504 53.508920,10.068207 53.508954,10.067911 53.508986,10.067614 53.509015,10.067317 53.509042,10.067017 53.509067,10.066719 53.509089,10.066425 53.509108,10.066120 53.509126,10.065828 53.509142,10.065366 53.509162,10.065108 53.509171,10.064856 53.509180,10.064342 53.509195,10.063634 53.509214,10.059405 53.509314)",EPSG:4326
